date,kse_close
2015-03-18,31524.980000000003
2015-03-19,31451.62
2015-03-20,31800.260000000002
2015-03-24,31310.73
2015-03-25,31086.51
2015-03-26,30678.97
2015-03-27,29957.829999999998
2015-03-30,28927.04
2015-03-31,30233.87
2015-04-01,30605.05
2015-04-02,31132.25
2015-04-03,31413.960000000003
2015-04-06,31752.17
2015-04-07,31600.73
2015-04-08,31887.3
2015-04-09,32013.91
2015-04-10,32350.93
2015-04-13,32248.45
2015-04-14,32109.87
2015-04-15,32248.86
2015-04-16,32736.43
2015-04-17,33234.729999999996
2015-04-20,33304.64
2015-04-21,33035.77
2015-04-22,33490.64
2015-04-23,33456.74
2015-04-24,33775.119999999995
2015-04-27,33844.28999999999
2015-04-28,33575.94
2015-04-29,33460.01
2015-04-30,33729.96
2015-05-04,33723.53
2015-05-05,33533.64
2015-05-06,33839.28
2015-05-07,33742.880000000005
2015-05-08,33530.3
2015-05-11,32506.36
2015-05-12,33023.8
2015-05-13,32915.44
2015-05-14,33103.729999999996
2015-05-15,33039.189999999995
2015-05-18,32886.06
2015-05-19,32729.55
2015-05-20,32599
2015-05-21,32617.74
2015-05-22,32605.62
2015-05-25,32707.22
2015-05-26,32510.35
2015-05-27,32842.59
2015-05-28,32763.480000000003
2015-05-29,33056.78999999999
2015-06-01,33563.380000000005
2015-06-02,33895.340000000004
2015-06-03,33908.619999999995
2015-06-04,34085.74
2015-06-05,34012.49
2015-06-08,34151.11
2015-06-09,34270.28
2015-06-10,34323.840000000004
2015-06-11,34594.7
2015-06-12,34651.28999999999
2015-06-15,34710.28999999999
2015-06-16,34516.3
2015-06-17,34482
2015-06-18,34674.61
2015-06-19,34526.7
2015-06-22,34278.42
2015-06-23,34133.83
2015-06-24,34331.94
2015-06-25,34077.92
2015-06-26,33885.13
2015-06-29,34093.55
2015-06-30,34398.86
2015-07-01,34843.6
2015-07-02,35186.56
2015-07-03,35456.350000000006
2015-07-06,35502.28
2015-07-07,35537.689999999995
2015-07-08,35328.83
2015-07-09,35147.13
2015-07-10,35112.28999999999
2015-07-13,35496.619999999995
2015-07-14,35446.89
2015-07-15,35699.75
2015-07-16,35887.659999999996
2015-07-22,36056.68
2015-07-23,35934.99
2015-07-24,35815.2
2015-07-27,35175.49
2015-07-28,35274.659999999996
2015-07-29,35676.49
2015-07-30,35730.01
2015-07-31,35741.52
2015-08-03,35824.56
2015-08-04,35921.71
2015-08-05,36156.83
2015-08-06,36228.880000000005
2015-08-07,36222.63
2015-08-10,36084.67
2015-08-11,36205.94
2015-08-12,35892.77
2015-08-13,35937.33
2015-08-17,35588.05
2015-08-18,35546.03
2015-08-19,35461.58
2015-08-20,35219.59
2015-08-21,34519.77
2015-08-24,33100.340000000004
2015-08-25,33798.8
2015-08-26,33537.42
2015-08-27,33961.28999999999
2015-08-28,34447.47
2015-08-31,34726.51
2015-09-01,34456.340000000004
2015-09-02,34309.759999999995
2015-09-03,34397.33
2015-09-04,33891.08
2015-09-07,32944.48
2015-09-08,33474.17
2015-09-09,33830.36
2015-09-10,33792.37
2015-09-11,33672.719999999994
2015-09-14,33384.729999999996
2015-09-15,33191.46
2015-09-16,33345.56
2015-09-17,33152.06
2015-09-18,32760.95
2015-09-21,32826.24
2015-09-22,32882.02
2015-09-23,32822.840000000004
2015-09-28,32690.02
2015-09-29,32214.58
2015-09-30,32287.41
2015-10-01,32750.309999999998
2015-10-02,32969.729999999996
2015-10-05,32784.94
2015-10-06,33202.87
2015-10-07,33376.2
2015-10-08,33469.15
2015-10-09,33843.18
2015-10-12,34183.850000000006
2015-10-13,34031.78
2015-10-14,33974.850000000006
2015-10-15,33921.96
2015-10-16,33954.98
2015-10-19,33966.75
2015-10-20,33910.17
2015-10-21,33943.74
2015-10-22,33945.32
2015-10-26,33860.64
2015-10-27,33843.83
2015-10-28,34061.42
2015-10-29,34332.43
2015-10-30,34261.6
2015-11-02,34226.119999999995
2015-11-03,34275.75
2015-11-04,34522.950000000004
2015-11-05,34454.59
2015-11-06,34426.75
2015-11-09,34336.47
2015-11-10,33958.119999999995
2015-11-11,33934.04
2015-11-12,34264.56
2015-11-13,34144.78
2015-11-16,33946.41
2015-11-17,34065.87
2015-11-18,33949.259999999995
2015-11-19,33908.44
2015-11-20,33857
2015-11-23,33732.91
2015-11-24,33571.59
2015-11-25,33199.86
2015-11-26,33079.37
2015-11-27,32960.27
2015-11-30,32255.2
2015-12-01,31709.36
2015-12-02,32392.93
2015-12-03,32565.14
2015-12-04,32707.91
2015-12-07,32853.54
2015-12-08,32791.71
2015-12-09,33020.259999999995
2015-12-10,33211.92
2015-12-11,33048.51
2015-12-14,32757.82
2015-12-15,32467.04
2015-12-16,32714.6
2015-12-17,33109.54
2015-12-18,32777.04
2015-12-21,32658.97
2015-12-22,32641.09
2015-12-23,32500.75
2015-12-28,32674.04
2015-12-29,32811.89
2015-12-30,32825.03
2015-12-31,32816.310000000005
2016-01-01,33228.950000000004
2016-01-04,33009.13
2016-01-05,32983.47
2016-01-06,32968.259999999995
2016-01-07,32682.5
2016-01-08,32534.85
2016-01-11,32320.05
2016-01-12,32265.649999999998
2016-01-13,32154.17
2016-01-14,31441.02
2016-01-15,31001.49
2016-01-18,30628.4
2016-01-19,31092.609999999997
2016-01-20,30766.01
2016-01-21,30751.8
2016-01-22,30949.02
2016-01-25,31065.129999999997
2016-01-26,31074.38
2016-01-27,31101.38
2016-01-28,31193.73
2016-01-29,31298.6
2016-02-01,31878.149999999998
2016-02-02,31960.609999999997
2016-02-03,32084.06
2016-02-04,32478.980000000003
2016-02-08,32706.22
2016-02-09,32438.45
2016-02-10,32144.59
2016-02-11,31820.54
2016-02-12,31464.16
2016-02-15,31928.149999999998
2016-02-16,31673.16
2016-02-17,31469.7
2016-02-18,31282.440000000002
2016-02-19,31011.77
2016-02-22,30677.68
2016-02-23,30564.5
2016-02-24,30786.6
2016-02-25,30802.53
2016-02-26,31294.08
2016-02-29,31369.51
